shipment_id,item,device_id,handler_code,destination,time
S1605,Hardware Unit,D-223,H-5525,Tokyo,2025-11-05 00:41:00
S19326,Hardware Unit,,H-1062,Delhi,2025-11-03 09:46:00
S10553,Microchip Box,D-196,,Delhi,2025-11-10 21:03:00
S12518,Hardware Unit,D-431,H-9501,Tokyo,2025-11-08 10:38:00
S17985,Hardware Unit,D-122,H-5881,Mumbai,2025-11-07 11:48:00
S19021,Microchip Box,D-135,H-3678,New York,2025-11-08 23:49:00
S3300,Lab Equipment,D-225,H-3123,New York,2025-11-12 22:05:00
S2941,Server Component,D-120,H-3712,,2025-11-15 03:23:00
S14819,Microchip Box,D-465,H-5956,Mumbai,2025-11-12 02:18:00
S20930,Hardware Unit,D-254,H-2416,Mumbai,2025-11-04 03:45:00
S6066,Hardware Unit,D-448,H-7757,Mumbai,2025-11-13 19:40:00
S9518,Lab Equipment,,H-2213,Delhi,2025-11-11 02:01:00
S5269,Lab Equipment,,H-4238,Delhi,2025-11-07 07:38:00
S7300,Hardware Unit,D-332,H-1378,Berlin,2025-11-12 11:50:00
S10293,Microchip Box,D-193,H-9332,Berlin,2025-11-10 13:09:00
S18706,Lab Equipment,D-492,H-6939,Delhi,2025-11-15 12:24:00
S14439,,D-274,H-4306,Tokyo,2025-11-07 11:55:00
S2820,Hardware Unit,D-247,H-3100,,2025-11-07 03:45:00
S10233,,D-152,H-3943,Singapore,2025-11-12 04:06:00
S19829,Lab Equipment,,H-7567,Tokyo,2025-11-14 10:37:00
S19911,Lab Equipment,D-314,H-3400,Berlin,2025-11-09 19:05:00
S16285,Server Component,D-289,H-9347,,2025-11-13 18:00:00
S11075,Hardware Unit,D-432,H-7531,Singapore,2025-11-14 21:48:00
S20293,Server Component,D-306,H-2013,,2025-11-02 21:49:00
S10589,,D-175,,Mumbai,2025-11-04 21:11:00
S4971,Server Component,D-170,H-5590,Delhi,2025-11-11 00:39:00
S14782,,D-145,H-2941,,2025-11-06 02:43:00
S1767,Hardware Unit,D-376,H-3432,Mumbai,2025-11-10 15:57:00
S3695,Hardware Unit,D-121,H-5262,Delhi,2025-11-13 18:11:00
S20833,Lab Equipment,D-331,,Tokyo,2025-11-05 14:06:00
S2808,,D-164,H-5242,Berlin,2025-11-09 21:35:00
S18946,Server Component,D-317,,New York,2025-11-15 22:36:00
S9556,,D-138,H-8811,Singapore,2025-11-13 05:45:00
S15150,Microchip Box,D-296,H-9648,,2025-11-14 03:37:00
S13204,Lab Equipment,D-403,H-8255,Berlin,2025-11-06 12:02:00
S20777,Server Component,D-322,H-6447,Singapore,2025-11-08 03:03:00
S18081,,D-158,H-9039,,2025-11-13 23:35:00
S7296,Lab Equipment,D-443,,,2025-11-10 13:03:00
S12795,Server Component,D-255,H-9022,Berlin,2025-11-01 14:36:00
S8531,Hardware Unit,D-316,H-4573,Berlin,2025-11-11 13:28:00
S14537,,D-236,H-4037,Mumbai,2025-11-12 18:00:00
S18110,Hardware Unit,D-384,H-9332,Delhi,2025-11-04 06:36:00
S3761,Server Component,D-462,H-4465,,2025-11-11 05:30:00
S1387,Microchip Box,D-369,H-7324,Mumbai,2025-11-13 20:24:00
S7775,Lab Equipment,D-155,H-3844,Singapore,2025-11-06 15:42:00
S4792,Microchip Box,D-166,H-7301,Singapore,2025-11-05 02:19:00
S6402,Microchip Box,D-236,H-7667,Mumbai,2025-11-04 19:32:00
S11446,Microchip Box,D-435,H-3162,Mumbai,2025-11-09 19:17:00
S9025,Hardware Unit,D-112,H-7150,Mumbai,2025-11-01 17:34:00
S11834,Lab Equipment,D-419,H-4234,Singapore,2025-11-13 10:45:00
S1839,Hardware Unit,D-447,H-6037,Mumbai,2025-11-04 20:36:00
S8113,Hardware Unit,D-495,H-7364,Tokyo,2025-11-07 12:30:00
S3686,Lab Equipment,D-367,H-8642,Delhi,2025-11-10 00:13:00
S17057,,D-165,,Mumbai,2025-11-10 15:03:00
S13815,Server Component,D-361,H-2201,Mumbai,2025-11-07 14:38:00
S5004,Hardware Unit,D-411,H-8910,Delhi,2025-11-05 19:51:00
S13035,Server Component,D-142,H-9293,Singapore,2025-11-08 22:40:00
S19569,Lab Equipment,,,Singapore,2025-11-03 04:40:00
S20955,Server Component,D-238,H-3558,Singapore,2025-11-08 10:47:00
S1415,Server Component,D-312,H-3460,Delhi,2025-11-01 22:38:00
S2718,Lab Equipment,D-246,H-4732,Mumbai,2025-11-08 21:19:00
S9454,Hardware Unit,D-490,,Tokyo,2025-11-01 12:47:00
S9172,Microchip Box,D-470,H-4058,,2025-11-12 04:11:00
S18324,Lab Equipment,D-386,H-3212,New York,2025-11-14 22:44:00
S18959,Hardware Unit,D-423,H-7830,Mumbai,2025-11-04 16:26:00
S10852,,,H-8005,,2025-11-13 15:30:00
S18542,Hardware Unit,D-182,H-2956,Tokyo,2025-11-02 17:51:00
S13096,Lab Equipment,D-456,H-4455,Tokyo,2025-11-02 20:13:00
S4867,Hardware Unit,D-319,H-9405,Mumbai,2025-11-09 19:16:00
S9784,Lab Equipment,,H-9326,Mumbai,2025-11-07 00:08:00
S6548,Server Component,D-399,H-6485,Singapore,2025-11-07 15:16:00
S19702,Lab Equipment,D-271,H-7991,Berlin,2025-11-07 09:19:00
S7899,Server Component,D-254,H-6706,New York,2025-11-07 05:39:00
S4843,Lab Equipment,D-148,H-7695,New York,2025-11-09 22:39:00
S2745,Lab Equipment,D-247,H-9115,,2025-11-06 05:28:00
S20663,Lab Equipment,D-147,H-3080,,2025-11-14 23:16:00
S3415,Microchip Box,D-200,H-3973,Berlin,2025-11-15 10:21:00
S16332,Microchip Box,D-105,H-1786,Delhi,2025-11-08 20:45:00
S9091,Lab Equipment,D-207,H-980,Tokyo,2025-11-15 20:14:00
S7440,Hardware Unit,,,Delhi,2025-11-11 15:37:00
S17488,Hardware Unit,,,,2025-11-01 08:59:00
S7498,Hardware Unit,D-183,H-1564,Singapore,2025-11-09 20:29:00
S8633,Server Component,D-268,H-8898,Delhi,2025-11-03 06:35:00
S14463,Lab Equipment,D-127,,Mumbai,2025-11-02 00:09:00
S13381,Hardware Unit,D-344,,New York,2025-11-05 17:52:00
S17640,Lab Equipment,D-437,H-4368,Singapore,2025-11-02 20:31:00
S14693,Server Component,D-320,,New York,2025-11-03 14:31:00
S7268,Microchip Box,D-433,H-2752,,2025-11-11 22:42:00
S8353,Lab Equipment,D-243,H-2609,Tokyo,2025-11-15 09:07:00
S18309,Lab Equipment,D-341,H-6045,Singapore,2025-11-08 16:48:00
S1060,,D-122,H-904,Tokyo,2025-11-12 16:16:00
S14308,Microchip Box,D-205,H-3897,Delhi,2025-11-15 10:15:00
S6443,Hardware Unit,D-373,H-8553,New York,2025-11-08 05:15:00
S8465,Lab Equipment,D-118,H-6595,Delhi,2025-11-12 22:48:00
S19257,Hardware Unit,D-276,H-3610,Mumbai,2025-11-09 03:02:00
S10818,Microchip Box,,H-1811,Mumbai,2025-11-01 07:32:00
S2442,Microchip Box,D-235,H-6377,Delhi,2025-11-02 22:34:00
S6456,Server Component,D-197,H-2669,Mumbai,2025-11-07 22:45:00
S19661,Hardware Unit,D-484,H-3276,Delhi,2025-11-10 22:47:00
S6350,Server Component,D-331,,Delhi,2025-11-06 16:33:00
S9264,Server Component,D-315,H-9120,Delhi,2025-11-12 08:21:00
S6101,Microchip Box,D-110,H-7678,Delhi,2025-11-14 18:28:00
S12864,Server Component,,H-3807,Mumbai,2025-11-12 05:22:00
S15614,Server Component,D-242,H-4057,Mumbai,2025-11-13 19:40:00
S7846,Hardware Unit,D-378,H-1102,Berlin,2025-11-13 13:14:00
S12341,Lab Equipment,D-480,H-3957,Delhi,2025-11-14 21:05:00
S18016,Hardware Unit,D-111,H-8399,Delhi,2025-11-07 14:56:00
S6768,Hardware Unit,D-151,,Mumbai,2025-11-05 20:58:00
S14612,Server Component,D-381,H-4710,Singapore,2025-11-05 02:43:00
S9031,Hardware Unit,D-468,H-7029,Delhi,2025-11-07 15:14:00
S3526,,D-426,H-7443,New York,2025-11-06 04:30:00
S7789,Microchip Box,D-317,H-4546,Singapore,2025-11-08 05:35:00
S14488,Server Component,D-400,H-8897,New York,2025-11-15 06:56:00
S16239,Microchip Box,D-209,H-2152,Mumbai,2025-11-05 13:47:00
S14170,,D-205,H-6297,Berlin,2025-11-02 02:34:00
S6887,Hardware Unit,D-151,H-2025,New York,2025-11-04 20:54:00
S10085,Hardware Unit,D-343,H-4387,Singapore,2025-11-05 18:22:00
S9557,,D-398,H-5844,,2025-11-10 19:16:00
S3279,Server Component,D-140,H-8464,Mumbai,2025-11-04 04:03:00
S20357,Lab Equipment,D-262,H-2294,Mumbai,2025-11-14 17:02:00
S11923,Server Component,D-444,H-3999,Delhi,2025-11-09 05:21:00
S19995,Server Component,D-442,H-6463,Mumbai,2025-11-06 02:14:00
S2394,Hardware Unit,D-195,H-1941,Berlin,2025-11-13 22:34:00
S3865,Microchip Box,,,Mumbai,2025-11-02 10:56:00
S9410,Microchip Box,D-442,H-4394,Delhi,2025-11-01 00:33:00
S15314,Lab Equipment,D-449,H-6998,Delhi,2025-11-05 16:35:00
S18425,Server Component,D-209,H-1375,,2025-11-10 06:28:00
S6764,Hardware Unit,,H-6781,Mumbai,2025-11-12 08:10:00
S18472,Lab Equipment,D-103,H-4465,Delhi,2025-11-06 07:51:00
S11801,Server Component,D-168,H-8266,Delhi,2025-11-03 23:37:00
S1894,Hardware Unit,D-308,H-3171,New York,2025-11-06 05:32:00
S14234,Lab Equipment,D-445,H-9351,Singapore,2025-11-13 19:44:00
S17309,Microchip Box,D-316,H-9164,Delhi,2025-11-14 15:10:00
S5524,Server Component,D-369,H-4108,Mumbai,2025-11-10 16:42:00
S5645,Lab Equipment,D-255,H-1602,Delhi,2025-11-01 18:31:00
S6796,Microchip Box,D-361,H-4333,Mumbai,2025-11-08 01:02:00
S14037,Hardware Unit,D-246,H-9933,Mumbai,2025-11-04 09:10:00
S7681,Hardware Unit,D-320,H-7856,Tokyo,2025-11-02 05:19:00
S14397,,D-209,H-8385,Berlin,2025-11-06 07:24:00
S10365,Hardware Unit,D-273,H-971,Tokyo,2025-11-14 15:42:00
S19337,Lab Equipment,,H-3999,Delhi,2025-11-12 22:34:00
S10069,Hardware Unit,D-291,,Berlin,2025-11-04 23:15:00
S20334,Lab Equipment,,H-9050,Mumbai,2025-11-07 15:04:00
S11397,Server Component,D-378,H-3365,Mumbai,2025-11-12 01:45:00
S6230,Server Component,D-246,H-9282,Berlin,2025-11-06 08:11:00
S16271,,D-323,H-2706,Delhi,2025-11-04 06:09:00
S13217,Hardware Unit,D-454,,Delhi,2025-11-09 09:56:00
S8964,Lab Equipment,D-246,H-7639,,2025-11-02 14:05:00
S14505,Microchip Box,D-276,,Tokyo,2025-11-14 17:08:00
S14669,,D-256,H-6260,New York,2025-11-08 12:15:00
S19860,Server Component,D-465,H-8946,Delhi,2025-11-05 23:49:00
S19550,,D-141,,Delhi,2025-11-06 14:04:00
S12412,Lab Equipment,D-128,H-5372,Tokyo,2025-11-07 16:59:00
S12253,Microchip Box,D-166,H-7887,Delhi,2025-11-13 20:23:00
S6925,Server Component,D-194,H-2415,Mumbai,2025-11-15 01:06:00
S15788,Server Component,D-173,H-2898,Berlin,2025-11-11 10:25:00
S20146,Microchip Box,D-358,H-7013,Delhi,2025-11-11 15:06:00
S3084,Microchip Box,D-371,H-3487,Delhi,2025-11-07 20:05:00
S3294,,,H-9459,Mumbai,2025-11-15 05:23:00
S2296,Microchip Box,D-248,H-1520,Mumbai,2025-11-14 09:05:00
S18738,Lab Equipment,D-384,H-5847,Mumbai,2025-11-06 20:23:00
S12599,Lab Equipment,D-217,H-2129,Tokyo,2025-11-12 19:52:00
S20519,,D-359,H-9750,Mumbai,2025-11-04 00:59:00
S10153,Microchip Box,D-255,H-8284,Tokyo,2025-11-01 09:15:00
S8772,Server Component,,H-5380,Berlin,2025-11-06 04:20:00
S7960,Server Component,D-236,H-8511,Singapore,2025-11-09 16:18:00
S11707,Hardware Unit,D-440,H-6373,Singapore,2025-11-10 10:19:00
S12796,Hardware Unit,D-400,H-8987,Mumbai,2025-11-08 23:13:00
S14726,Microchip Box,D-170,H-4417,Singapore,2025-11-12 14:37:00
S14493,Lab Equipment,D-352,H-8355,Singapore,2025-11-08 15:54:00
S8055,Lab Equipment,D-231,,Delhi,2025-11-06 16:45:00
S6419,Server Component,D-307,H-6054,Delhi,2025-11-04 10:33:00
S14687,Lab Equipment,D-176,H-8413,Berlin,2025-11-06 02:33:00
S6331,Hardware Unit,D-389,H-2915,New York,2025-11-09 15:03:00
S13530,Server Component,,H-7100,,2025-11-05 21:42:00
S15195,Microchip Box,D-345,H-5362,Berlin,2025-11-07 15:27:00
S5198,Server Component,,H-2096,Delhi,2025-11-15 04:57:00
S1565,Lab Equipment,D-398,,New York,2025-11-09 22:34:00
S15075,Microchip Box,D-153,H-8984,New York,2025-11-04 20:33:00
S10113,Lab Equipment,D-396,H-5118,New York,2025-11-08 11:55:00
S10976,Microchip Box,D-159,H-9155,,2025-11-12 14:55:00
S10202,Microchip Box,,H-1557,Delhi,2025-11-04 20:47:00
S17765,Server Component,D-186,,Delhi,2025-11-04 02:46:00
S19841,Server Component,,H-7234,,2025-11-01 06:10:00
S20014,Hardware Unit,D-113,H-9614,Delhi,2025-11-08 20:41:00
S14978,Server Component,D-313,H-1698,Mumbai,2025-11-03 00:21:00
S18453,Lab Equipment,D-423,H-8255,Berlin,2025-11-11 09:04:00
S11497,Hardware Unit,D-428,H-3736,New York,2025-11-08 14:26:00
S7025,Server Component,D-229,H-1807,Delhi,2025-11-02 09:14:00
S15103,Microchip Box,D-119,H-9598,Berlin,2025-11-07 18:47:00
