employee_tag,transaction_type,amount,time,device_id
T-9690,Purchase,732.8,2025-11-06 02:34:00,D-246
T-6451,,4634.14,2025-11-05 10:37:00,D-141
T-6039,Transfer,,2025-11-11 07:24:00,D-453
T-5706,Withdrawal,776.1,2025-11-01 22:02:00,D-269
T-5132,Purchase,5763.35,2025-11-05 18:49:00,D-449
T-5293,Purchase,3691.84,2025-11-01 01:15:00,D-416
T-9867,Withdrawal,5200.8,2025-11-05 11:06:00,D-117
T-5859,Deposit,3059.2,2025-11-10 11:11:00,D-307
T-9697,Purchase,,2025-11-08 11:12:00,D-187
T-8665,,,2025-11-14 22:55:00,D-358
T-8439,Transfer,6493.93,2025-11-02 23:15:00,
T-9821,Transfer,,2025-11-14 21:57:00,D-293
T-9034,Purchase,,2025-11-13 13:45:00,D-334
T-7199,Purchase,1461.54,2025-11-04 23:38:00,D-267
T-9900,Purchase,,2025-11-04 01:55:00,
T-8715,Transfer,2836.13,2025-11-14 23:53:00,D-245
T-8741,Purchase,1951.35,2025-11-04 16:12:00,D-460
T-8263,Purchase,1806.19,2025-11-08 12:33:00,D-413
T-7054,Purchase,681.49,2025-11-11 09:53:00,D-155
T-8912,Purchase,1573.83,2025-11-09 14:58:00,D-251
T-6584,,2016.41,2025-11-15 08:54:00,D-149
T-9034,Purchase,14346.29,2025-11-07 09:55:00,D-180
T-8683,Deposit,203.55,2025-11-11 18:59:00,D-249
T-6478,Withdrawal,6678.85,2025-11-11 06:23:00,D-101
T-9473,Withdrawal,6635.2,2025-11-14 21:24:00,D-226
T-9988,Transfer,2393.74,2025-11-12 19:56:00,D-214
T-8918,,3070.69,2025-11-14 21:35:00,D-478
T-9067,Transfer,1349.21,2025-11-10 11:51:00,D-105
T-5608,Purchase,4712.5,2025-11-02 01:38:00,D-431
T-9195,,1938.97,2025-11-14 23:36:00,D-481
T-7322,Withdrawal,,2025-11-11 07:30:00,D-425
T-6927,Transfer,,2025-11-03 20:12:00,D-366
T-9093,Purchase,290.22,2025-11-02 20:06:00,D-164
T-5114,,489.32,2025-11-14 08:01:00,D-496
T-9026,Purchase,374.53,2025-11-10 21:31:00,D-419
T-5750,Purchase,1465.07,2025-11-01 16:55:00,D-464
T-8522,Transfer,2541.37,2025-11-07 06:14:00,
T-9838,Withdrawal,1410.27,2025-11-10 22:38:00,D-250
T-5638,Purchase,390.68,2025-11-13 19:03:00,D-125
T-8222,Withdrawal,5793.3,2025-11-02 16:34:00,D-127
T-6451,Transfer,4204.18,2025-11-04 21:34:00,D-340
T-9034,Purchase,465.24,2025-11-15 07:35:00,D-349
T-7138,,9972.95,2025-11-06 14:17:00,D-296
T-9825,Deposit,10110.37,2025-11-06 15:50:00,D-472
T-6937,Transfer,2539.93,2025-11-12 08:00:00,D-402
T-6584,Transfer,2068.95,2025-11-14 14:10:00,
T-6529,Withdrawal,2700.49,2025-11-01 19:43:00,D-306
T-8700,Transfer,3401.21,2025-11-07 01:04:00,D-252
T-8222,Transfer,8875.32,2025-11-02 06:22:00,D-343
T-9957,Purchase,334.12,2025-11-09 03:41:00,D-114
T-8298,,895.22,2025-11-07 00:51:00,D-181
T-5859,Transfer,2662.03,2025-11-02 05:15:00,D-348
T-7990,Purchase,2922.33,2025-11-15 18:11:00,D-373
T-7772,Withdrawal,949.67,2025-11-07 14:17:00,D-137
T-6494,Withdrawal,1895.1,2025-11-10 18:04:00,D-121
T-9024,Withdrawal,1233.32,2025-11-02 20:40:00,D-379
T-7840,Purchase,5828.31,2025-11-14 13:11:00,D-498
T-8779,Withdrawal,12286.35,2025-11-11 20:05:00,D-476
T-7332,Purchase,7623.33,2025-11-11 06:44:00,
T-5993,,4709.86,2025-11-15 16:38:00,D-385
T-5187,Purchase,444.97,2025-11-15 15:04:00,D-266
T-5201,Purchase,6314.63,2025-11-03 11:27:00,D-274
T-8912,Withdrawal,4653.52,2025-11-01 16:20:00,D-391
T-9428,,108.41,2025-11-09 16:26:00,D-179
T-7825,Purchase,340.73,2025-11-07 01:48:00,D-421
T-5596,Purchase,1101.84,2025-11-06 02:01:00,D-454
T-8918,Purchase,4786.55,2025-11-01 09:13:00,D-416
T-7138,Purchase,3947.61,2025-11-02 17:15:00,
T-9674,Deposit,5056.32,2025-11-02 18:57:00,
T-9392,Purchase,1912.04,2025-11-10 02:49:00,D-238
T-7170,Purchase,442.21,2025-11-06 23:01:00,D-224
T-5520,Purchase,1841.83,2025-11-03 22:22:00,D-211
T-8116,Withdrawal,1854.87,2025-11-10 07:17:00,D-313
T-9416,,1099.68,2025-11-14 19:02:00,D-164
T-5238,Purchase,3139.5,2025-11-15 12:53:00,D-419
T-7515,Purchase,1024.59,2025-11-04 12:27:00,D-151
